Official Legal Company Name,Entity / Division Label,Executive / Leader,Verified Email,Street Address,City,State/Province,Postal Code,Country,Domain
Gebr. Becker GmbH,Global Headquarters,Dr. Dorothee Becker (CEO),info@becker-international.com,Hölker Feld 29-31,Wuppertal,North Rhine-Westphalia,42279,Germany,becker-international.com
Becker Pumps Corporation,USA Headquarters,Jason Rathbun (Managing Director),jrathbun@beckerpumps.com,100 Industrial Parkway,Cuyahoga Falls,OH,44221,USA,beckerpumps.com
Becker Vacuum Pumps Canada Inc.,Canada Operating Headquarters,Canadian Sales Division,info@becker-canada.com,"11 Glidden Road, Unit 6",Brampton,ON,L6W 3AL,Canada,becker-canada.com
Becker Mexico S. de R.L. de C.V.,Mexico & LATAM Operations,LATAM Sales Division,info@becker-mexico.mx,"Av. Francisco I. Madero 1955 Poniente, Centro",Monterrey,N.L.,64000,Mexico,becker-mexico.mx
Becker UK Ltd,UK & Ireland Headquarters,Tim Martin (Managing Director),tim.martin@becker.co.uk,"Unit 1, Reservoir Road, Clough Road",Hull,East Yorkshire,HU6 7QD,United Kingdom,becker.co.uk
Becker France S.A.R.L.,France Subsidiary,Frank Becker (Managing Director),info@becker-france.fr,19 Rue du Gros Caillou,Les Clayes-sous-Bois,Île-de-France,78340,France,becker-france.fr
Becker Italia S.r.l.,Italy Subsidiary,Italian Sales Division,info@becker-italia.it,Via Pirandello 1,Castel Maggiore,BO,40013,Italy,becker-italia.it
Becker Ibérica de Bombas de Vacío S.L.,Spain & Portugal Subsidiary,Iberian Sales Division,info@becker-iberica.com,"Carrer Gorchs Lladó 80, Pol. Ind. Can Salvatella",Barberà del Vallès,Barcelona,08210,Spain,becker-iberica.com
Becker Druk- en Vacuümpompen B.V.,Netherlands & Benelux Subsidiary,Dutch Sales Division,info@becker-nederland.nl,Vulcanustrede 2,Heerenveen,Friesland,8448 CH,Netherlands,becker-nederland.nl
Becker AG,Switzerland Subsidiary,Swiss Sales Division,info@becker-ag.ch,Moosstrasse 2,Rüschlikon,Zurich,8803,Switzerland,becker-ag.ch
Gebr. Becker India Vacuum Pumps Pvt. Ltd.,India Subsidiary,Indian Sales Division,info@becker-india.com,"Plot No. 83, Sector 10, PCNDTA, Bhosari",Pune,Maharashtra,411026,India,becker-india.com
Becker Asia Pacific Pte. Ltd.,Asia-Pacific Regional HQ,Asia Pacific Division,info@becker-asiapacific.com,"21 Bukit Batok Crescent, #09-79 Wcega Tower",Singapore,Singapore,658065,Singapore,becker-asiapacific.com
"Becker Vacuum Equipment (Shanghai) Co., Ltd.",China Subsidiary,China Sales Division,info@becker-china.com,"Building 4, No. 350, Huajiang Road, Jiading District",Shanghai,Shanghai,201803,China,becker-china.com
Becker Japan K.K.,Japan Subsidiary,Japan Sales Division,info@becker-japan.co.jp,"3-8-4 Shin-Yokohama, Kohoku-ku",Yokohama,Kanagawa,222-0033,Japan,becker-japan.co.jp
Becker Polska Sp. z o.o.,Poland Subsidiary,Poland Sales Division,info@becker-polska.pl,ul. Głogowska 40,Poznań,Wielkopolska,60-736,Poland,becker-polska.pl
Becker Vacuum Korea Ltd.,South Korea Subsidiary,Korea Sales Division,info@becker-korea.co.kr,"#708, 16-1, Dangsan-dong 5-ga, Yeongdeungpo-gu",Seoul,Seoul,07223,South Korea,becker-korea.co.kr
Pioneer Equipment Incorporated,Southwestern US Exclusive Representative,Scott Trammell (President & Owner),strammell@pioneerequip.com,"2420 W Peoria Ave, Suite 101",Phoenix,AZ,85029,USA,pioneerequip.com
Application Associates Inc.,Stocking Representative,Jim McEvoy (President),jmcevoy@applicationassociates.com,100 Everett Street,Westwood,MA,02090,USA,applicationassociates.com
"CNC Parts Dept, Inc.",Factory Service Center & Distributor,Lynn Kramer (Owner & Founder),lkramer@cncpd.com,"1261 Activity Dr, Suite A",Vista,CA,92081,USA,cncpd.com
