Company Name,Website Domain,CEO/President Name,Ownership Type
Belt Power LLC,beltpower.com,Don Heitmeier,Private (PE-backed)
Cisco-Eagle,cisco-eagle.com,Darein Gandall,Private (Employee-Owned ESOP)
Abel Womack,abelwomack.com,Mike Petinge,Private
W.W. Cannon,wwcannon.com,Greg Brown,Private
Hytrol Conveyor Company,hytrol.com,David Peacock,Private
SJF Material Handling,sjf.com,Frank Sterner,Private (Family-Owned)
Numina Group,numinagroup.com,Dan Hanrahan,Private (Family-Owned)
LEWCO Inc.,lewcoinc.com,Ron Guerra,Private (Family-Owned)
Thomas Conveyor & Equipment Co.,thomasconveyor.com,Ryan Lisy,Private (Family-Owned)
Roach Conveyors,roachconveyors.com,Mike Roach Sr.,Private (Family-Owned)
Automated Conveyor Systems Inc. (ACSI),acsconveyor.com,Michael Shenigo,Private
Conveyor Engineering & Manufacturing,conveyoreng.com,Graig Cone,Private (Owner-Operated)
Multi-Conveyor LLC,multi-conveyor.com,Ed Doe,Private (Family-Owned)
Nercon Conveyor Systems,nerconconveyors.com,Mike Weickert,Private (Family-Owned)
Handling Systems & Conveyors (HSC),hscalabama.com,Andy Everett,Private
McGinty Conveyors Inc.,mcgintyconveyors.com,John McGinty III,Private (Family-Owned)
Bulk Conveyors Inc. (BCI),bciks.com,Ty Quillin,Private
Ralphs-Pugh,ralphspugh.com,Bill Pugh,Private (Family-Owned)
Richards-Wilcox Conveyor,rwconveyor.com,Bob McMurtry,Private
FMH Conveyors,fmhconveyors.com,Chris Glenn,Private (PE-backed / Duravant)
Span Tech,spantechllc.com,Bud Layne,Private (Founder-Owned)
Dorner Conveyors,dornerconveyors.com,Terry Schadeberg,Private (Subsidiary)
QC Conveyors,qcconveyors.com,David Endres,Private (PE-backed / Duravant)
mk North America,mknorthamerica.com,Andreas Haussmann,Private
Dynamic Conveyor,dynamicconveyor.com,Jordan Musselman,Private (Family-Owned)
Cablevey Conveyors,cablevey.com,Brad Sterner,Private (PE-backed)
Flexicon Corporation,flexicon.com,David R. Gill,Private (Family-Owned)
Eaglestone Equipment,eaglestoneinc.com,Carmen Sammauro,Private (Co-Founder)
Pengate Handling Systems,pengate.com,Lilly Sarikas,Private
Ryson International,ryson.com,Dave Wineman,Private (Subsidiary)
AmbaFlex,ambaflex.com,Phil Miller (President Americas),Private
Conveyor Solutions,conveyorsolutions.com,Brian Buckingham,Private
Bunting Magnetics,bfrarp.com,Robert Bunting Jr.,Private (Family-Owned)
Taylor Material Handling & Conveyor,taylormhc.com,Lex Taylor,Private (Family-Owned)
Hassel Material Handling Co.,hasselmaterialhandling.com,Andy Radabaugh,Private
Meyer Material Handling Products,meyermat.com,Jill Calkins,Private (Woman-Owned)
Thornel Associates Inc.,thornel.com,Tony Wichhart,Private
Jealco International Inc.,jealco.com,Mark Lacefield,Private
BSC Industries,bsc-ind.com,Peter Fitzpatrick,Private (PE-backed)
Bob Dean Supply Inc.,bobdeansupply.com,Unknown,Private
Wesgroup Equipment,wesgroupequipment.com,Dhar Dhaliwal,Private
Mazzella Companies,mazzellacompanies.com,Tony Mazzella,Private (Family-Owned)
Hodge Company,hodgecompany.com,Zach Hodge / Jordan Fullan (Co-CEOs),Private (Family-Owned)
Barclay Brand Ferdon,bbfyale.com,Bernie Saxon,Private
Quality Material Handling Inc. (QMH),qmh.com,Hector Pinto,Private (Family-Owned)
Brock Solutions,brocksolutions.com,Keith Vermeer,Private (Employee-Owned)
Southeast Industrial Equipment,sielift.com,Cory Thorne,Private (Family-Owned)
Jorgenson Companies,jorgensoncompanies.com,Dustin Jorgenson,Private (Family-Owned)
SmartMove Conveyor,smartmoveconveyor.com,Paula Wright,Private
UniTrak Corporation,unitrak.com,Bill Gorsline,Private
Russell Conveyor & Equipment,russellconveyor.com,Ed Russell,Private (Family-Owned)
PRAB Inc.,prab.com,Joel Torres,Private
Gough Econ Inc.,goughecon.com,Don Calvert (VP/Co-Owner),Private
Power Pack Conveyor,powerpackconveyor.com,Eric Ensinger,Private
Industrial Kinetics,iki.com,George Huber III,Private (Family-Owned)
Serpentix Conveyor Corporation,serpentix.com,Rob Nusz,Private
Wire Belt Company of America,wirebelt.com,Jonathan Greer,Private (Family-Owned)
Conveyors Inc.,conveyorsinc.com,Unknown,Private
Fluent Conveyors,fluentconveyors.com,Jeremy Axel,Private (Founder-Owned)
KWS Manufacturing,kwsmfg.com,Bill Mecke,Private (Subsidiary / Kadant)
Titan Conveyors,titanconveyors.com,Vincenzo Speziali,Private
BMH Equipment LLC,bmhequipment.com,James Wiese,Private
Carter Intralogistics,carterintralogistics.com,Warren Phillips,Private (Subsidiary)
Miami Industrial Trucks (MIT),mitlift.com,Mark G. Jones,Private
American Crane & Equipment Corp,americancrane.com,Karen Norheim,Private (Woman-Owned)
Omni Metalcraft,omnimetalcraft.com,Ron Winter,Private
Mallard Manufacturing,mallardmfg.com,Kevin Risch,Private (Subsidiary)
Conveyor & Automation Technologies,conveyor-automation.com,Lilly Sarikas,Private
Carolina Conveying,carolinaconveying.com,Unknown,Private
